身分,區域別,性別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
不分平地山地,坪林區,計,17,5,2,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1
不分平地山地,坪林區,男,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
不分平地山地,坪林區,女,12,5,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
不分平地山地,三芝區,計,345,169,32,83,26,4,15,0,2,0,0,1,8,0,4,0,0,1
不分平地山地,三芝區,男,161,81,13,38,12,2,8,0,0,0,0,0,6,0,0,0,0,1
不分平地山地,三芝區,女,184,88,19,45,14,2,7,0,2,0,0,1,2,0,4,0,0,0
不分平地山地,石門區,計,50,15,10,2,5,2,7,0,3,0,0,0,4,0,0,0,0,2
不分平地山地,石門區,男,13,6,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
不分平地山地,石門區,女,37,9,8,2,4,2,4,0,3,0,0,0,4,0,0,0,0,1
不分平地山地,八里區,計,858,458,63,109,89,10,20,3,3,6,3,5,41,2,5,0,0,41
不分平地山地,八里區,男,413,221,29,55,36,3,8,2,1,4,2,4,18,2,3,0,0,25
不分平地山地,八里區,女,445,237,34,54,53,7,12,1,2,2,1,1,23,0,2,0,0,16
不分平地山地,平溪區,計,24,16,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
不分平地山地,平溪區,男,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不分平地山地,平溪區,女,20,13,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
不分平地山地,雙溪區,計,19,12,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1
不分平地山地,雙溪區,男,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
不分平地山地,雙溪區,女,13,7,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
不分平地山地,貢寮區,計,86,41,12,5,15,0,2,2,0,0,0,1,1,0,0,0,0,7
不分平地山地,貢寮區,男,33,16,4,2,8,0,0,1,0,0,0,0,0,0,0,0,0,2
不分平地山地,貢寮區,女,53,25,8,3,7,0,2,1,0,0,0,1,1,0,0,0,0,5
不分平地山地,金山區,計,128,67,16,27,2,0,5,0,0,0,0,1,8,0,0,0,0,2
不分平地山地,金山區,男,53,24,6,14,0,0,1,0,0,0,0,0,6,0,0,0,0,2
不分平地山地,金山區,女,75,43,10,13,2,0,4,0,0,0,0,1,2,0,0,0,0,0
不分平地山地,萬里區,計,292,231,15,15,8,3,2,0,1,1,0,0,15,0,0,0,0,1
不分平地山地,萬里區,男,135,116,5,6,3,2,0,0,0,0,0,0,3,0,0,0,0,0
不分平地山地,萬里區,女,157,115,10,9,5,1,2,0,1,1,0,0,12,0,0,0,0,1
不分平地山地,烏來區,計,2855,138,2577,25,37,9,9,8,4,1,0,1,36,0,2,0,0,8
不分平地山地,烏來區,男,1401,58,1279,11,18,3,3,4,1,0,0,1,16,0,0,0,0,7
不分平地山地,烏來區,女,1454,80,1298,14,19,6,6,4,3,1,0,0,20,0,2,0,0,1
不分平地山地,臺北市,計,16521,7937,2802,1596,1072,247,488,175,164,40,25,43,865,33,229,1,1,803
不分平地山地,臺北市,男,6965,3513,1113,657,430,110,223,69,74,9,7,17,353,14,86,0,0,290
不分平地山地,臺北市,女,9556,4424,1689,939,642,137,265,106,90,31,18,26,512,19,143,1,1,513
不分平地山地,松山區,計,915,432,127,138,53,14,26,9,15,7,4,0,33,3,1,0,0,53
不分平地山地,松山區,男,382,192,50,62,21,5,10,5,3,1,0,0,11,0,0,0,0,22
不分平地山地,松山區,女,533,240,77,76,32,9,16,4,12,6,4,0,22,3,1,0,0,31
不分平地山地,信義區,計,1080,494,207,101,49,43,44,15,17,1,3,3,45,3,25,0,0,30
不分平地山地,信義區,男,434,189,83,38,21,23,22,6,11,0,2,1,15,1,10,0,0,12
不分平地山地,信義區,女,646,305,124,63,28,20,22,9,6,1,1,2,30,2,15,0,0,18
不分平地山地,大安區,計,1140,496,262,95,80,13,32,10,5,4,1,1,46,0,34,0,0,61
不分平地山地,大安區,男,477,216,98,37,41,7,20,3,2,1,0,0,19,0,16,0,0,17
不分平地山地,大安區,女,663,280,164,58,39,6,12,7,3,3,1,1,27,0,18,0,0,44
不分平地山地,中山區,計,1443,645,288,169,68,11,45,15,13,2,5,3,116,0,14,0,0,49
不分平地山地,中山區,男,560,272,96,67,28,3,20,4,7,0,0,1,39,0,5,0,0,18
不分平地山地,中山區,女,883,373,192,102,40,8,25,11,6,2,5,2,77,0,9,0,0,31
不分平地山地,中正區,計,703,307,124,60,69,10,26,11,4,2,4,1,31,0,7,0,0,47
不分平地山地,中正區,男,319,154,50,23,27,5,10,6,2,1,2,0,16,0,3,0,0,20
不分平地山地,中正區,女,384,153,74,37,42,5,16,5,2,1,2,1,15,0,4,0,0,27
不分平地山地,大同區,計,705,333,167,82,20,5,17,2,9,4,0,5,44,0,7,0,0,10
不分平地山地,大同區,男,284,128,69,36,10,1,9,0,1,1,0,3,21,0,2,0,0,3
不分平地山地,大同區,女,421,205,98,46,10,4,8,2,8,3,0,2,23,0,5,0,0,7
不分平地山地,萬華區,計,1339,589,242,99,103,23,45,13,14,3,0,2,124,1,21,0,0,60
不分平地山地,萬華區,男,576,255,105,50,40,9,20,7,7,1,0,0,53,1,12,0,0,16
不分平地山地,萬華區,女,763,334,137,49,63,14,25,6,7,2,0,2,71,0,9,0,0,44
不分平地山地,文山區,計,2042,850,393,184,160,58,60,21,17,4,1,1,108,1,31,0,1,152
不分平地山地,文山區,男,872,390,172,66,68,25,25,7,9,1,0,0,44,1,10,0,0,54
不分平地山地,文山區,女,1170,460,221,118,92,33,35,14,8,3,1,1,64,0,21,0,1,98
不分平地山地,南港區,計,1525,1009,168,116,57,16,36,8,7,0,1,11,43,3,29,0,0,21
不分平地山地,南港區,男,697,483,70,48,19,8,15,2,3,0,1,5,23,3,10,0,0,7
不分平地山地,南港區,女,828,526,98,68,38,8,21,6,4,0,0,6,20,0,19,0,0,14
不分平地山地,內湖區,計,2413,1344,341,180,130,25,41,24,28,4,5,12,89,9,29,0,0,152
不分平地山地,內湖區,男,1007,604,124,77,47,9,17,9,12,1,1,5,32,2,10,0,0,57
不分平地山地,內湖區,女,1406,740,217,103,83,16,24,15,16,3,4,7,57,7,19,0,0,95
不分平地山地,士林區,計,1626,680,241,165,160,21,65,34,22,8,1,0,108,9,13,0,0,99
不分平地山地,士林區,男,683,299,97,67,62,13,28,16,9,2,1,0,51,4,2,0,0,32
不分平地山地,士林區,女,943,381,144,98,98,8,37,18,13,6,0,0,57,5,11,0,0,67
不分平地山地,北投區,計,1590,758,242,207,123,8,51,13,13,1,0,4,78,4,18,1,0,69
不分平地山地,北投區,男,674,331,99,86,46,2,27,4,8,0,0,2,29,2,6,0,0,32
不分平地山地,北投區,女,916,427,143,121,77,6,24,9,5,1,0,2,49,2,12,1,0,37
不分平地山地,桃園市,計,72684,34732,20515,5703,4321,491,1100,193,1061,122,31,174,2192,114,442,0,4,1489
不分平地山地,桃園市,男,34731,17033,9767,2569,1860,230,544,78,447,38,14,99,1040,68,194,0,2,748
不分平地山地,桃園市,女,37953,17699,10748,3134,2461,261,556,115,614,84,17,75,1152,46,248,0,2,741
不分平地山地,桃園區,計,7726,4275,1218,746,419,38,129,41,195,19,10,30,312,12,66,0,0,216
不分平地山地,桃園區,男,3559,2022,511,338,189,19,69,14,79,6,4,19,159,6,29,0,0,95
不分平地山地,桃園區,女,4167,2253,707,408,230,19,60,27,116,13,6,11,153,6,37,0,0,121
不分平地山地,中壢區,計,8833,4173,1886,952,669,109,224,34,186,19,3,39,286,10,68,0,3,172
不分平地山地,中壢區,男,3942,1910,825,419,268,47,92,12,89,5,1,23,128,3,36,0,1,83
不分平地山地,中壢區,女,4891,2263,1061,533,401,62,132,22,97,14,2,16,158,7,32,0,2,89
不分平地山地,大溪區,計,7183,3355,2941,275,205,18,79,17,67,1,1,13,78,1,15,0,0,117
不分平地山地,大溪區,男,3429,1701,1341,124,80,10,40,8,24,0,0,6,26,1,5,0,0,63
不分平地山地,大溪區,女,3754,1654,1600,151,125,8,39,9,43,1,1,7,52,0,10,0,0,54
不分平地山地,楊梅區,計,4325,2155,854,454,288,71,120,17,109,11,0,3,141,10,32,0,1,59
不分平地山地,楊梅區,男,2010,1052,376,197,122,32,64,7,43,1,0,2,64,7,16,0,1,26
不分平地山地,楊梅區,女,2315,1103,478,257,166,39,56,10,66,10,0,1,77,3,16,0,0,33
不分平地山地,蘆竹區,計,4648,2946,401,508,315,29,73,9,59,10,3,11,128,10,31,0,0,115
不分平地山地,蘆竹區,男,2213,1429,178,228,132,18,38,5,23,3,2,7,64,6,16,0,0,64
不分平地山地,蘆竹區,女,2435,1517,223,280,183,11,35,4,36,7,1,4,64,4,15,0,0,51
不分平地山地,大園區,計,3552,2451,250,261,326,33,44,4,25,7,5,11,53,0,16,0,0,66
不分平地山地,大園區,男,1763,1242,118,127,155,17,21,0,11,2,4,8,21,0,7,0,0,30
不分平地山地,大園區,女,1789,1209,132,134,171,16,23,4,14,5,1,3,32,0,9,0,0,36
不分平地山地,龜山區,計,7299,4980,577,569,406,54,85,25,48,3,3,26,278,4,46,0,0,195
不分平地山地,龜山區,男,3584,2550,215,266,178,26,53,15,19,3,2,12,131,1,17,0,0,96
不分平地山地,龜山區,女,3715,2430,362,303,228,28,32,10,29,0,1,14,147,3,29,0,0,99
不分平地山地,八德區,計,7528,4288,1314,609,368,58,146,16,122,26,0,2,305,19,70,0,0,185
不分平地山地,八德區,男,3542,2129,570,262,135,26,73,6,51,9,0,1,140,14,28,0,0,98
不分平地山地,八德區,女,3986,2159,744,347,233,32,73,10,71,17,0,1,165,5,42,0,0,87
不分平地山地,龍潭區,計,4023,1605,1244,362,326,12,44,10,71,12,6,2,230,14,39,0,0,46
不分平地山地,龍潭區,男,1885,803,535,171,128,6,18,4,37,5,1,1,124,11,14,0,0,27
不分平地山地,龍潭區,女,2138,802,709,191,198,6,26,6,34,7,5,1,106,3,25,0,0,19
不分平地山地,平鎮區,計,6679,3175,1513,656,586,53,120,5,141,14,0,21,225,31,48,0,0,91
不分平地山地,平鎮區,男,3102,1536,656,287,282,23,56,1,56,4,0,13,109,18,23,0,0,38
不分平地山地,平鎮區,女,3577,1639,857,369,304,30,64,4,85,10,0,8,116,13,25,0,0,53
不分平地山地,新屋區,計,707,384,78,86,93,2,4,1,8,0,0,13,23,0,4,0,0,11
不分平地山地,新屋區,男,331,193,27,47,37,0,1,0,3,0,0,7,8,0,1,0,0,7
不分平地山地,新屋區,女,376,191,51,39,56,2,3,1,5,0,0,6,15,0,3,0,0,4
不分平地山地,觀音區,計,1784,798,339,176,274,9,24,2,26,0,0,3,93,0,1,0,0,39
不分平地山地,觀音區,男,872,407,139,84,140,4,14,0,12,0,0,0,51,0,0,0,0,21
不分平地山地,觀音區,女,912,391,200,92,134,5,10,2,14,0,0,3,42,0,1,0,0,18
不分平地山地,復興區,計,8397,147,7900,49,46,5,8,12,4,0,0,0,40,3,6,0,0,177
不分平地山地,復興區,男,4499,59,4276,19,14,2,5,6,0,0,0,0,15,1,2,0,0,100
不分平地山地,復興區,女,3898,88,3624,30,32,3,3,6,4,0,0,0,25,2,4,0,0,77
不分平地山地,臺中市,計,34042,10125,9108,6550,4456,397,698,281,206,80,145,49,680,16,775,14,23,439
不分平地山地,臺中市,男,15688,4870,4220,3021,1911,178,325,111,96,36,57,14,284,9,346,6,6,198
不分平地山地,臺中市,女,18354,5255,4888,3529,2545,219,373,170,110,44,88,35,396,7,429,8,17,241
不分平地山地,中　區,計,129,32,35,10,35,2,2,5,0,0,0,0,3,0,3,0,0,2
不分平地山地,中　區,男,60,14,18,3,19,0,0,1,0,0,0,0,2,0,2,0,0,1
不分平地山地,中　區,女,69,18,17,7,16,2,2,4,0,0,0,0,1,0,1,0,0,1
不分平地山地,東　區,計,680,152,152,142,143,8,13,2,7,8,5,6,14,0,23,0,0,5
不分平地山地,東　區,男,326,77,74,69,64,7,7,1,3,4,2,1,8,0,8,0,0,1
不分平地山地,東　區,女,354,75,78,73,79,1,6,1,4,4,3,5,6,0,15,0,0,4
不分平地山地,南　區,計,973,297,147,189,211,8,33,5,1,0,7,3,20,0,43,0,0,9
不分平地山地,南　區,男,431,125,63,93,96,5,14,3,0,0,4,0,8,0,19,0,0,1
不分平地山地,南　區,女,542,172,84,96,115,3,19,2,1,0,3,3,12,0,24,0,0,8
不分平地山地,西　區,計,530,166,130,62,82,6,11,4,5,1,17,1,16,0,26,0,0,3
不分平地山地,西　區,男,190,57,41,23,35,3,3,2,2,0,8,1,8,0,7,0,0,0
不分平地山地,西　區,女,340,109,89,39,47,3,8,2,3,1,9,0,8,0,19,0,0,3
不分平地山地,北　區,計,1253,341,353,142,168,24,54,25,17,1,7,4,24,0,58,0,4,31
不分平地山地,北　區,男,532,160,150,49,76,8,26,9,7,1,4,2,5,0,24,0,1,10
不分平地山地,北　區,女,721,181,203,93,92,16,28,16,10,0,3,2,19,0,34,0,3,21
不分平地山地,西屯區,計,1846,678,374,308,252,25,35,19,15,2,20,4,49,3,42,0,3,17
不分平地山地,西屯區,男,749,299,140,124,96,9,12,8,8,2,6,0,20,2,15,0,1,7
不分平地山地,西屯區,女,1097,379,234,184,156,16,23,11,7,0,14,4,29,1,27,0,2,10
不分平地山地,南屯區,計,1246,343,201,374,129,16,43,8,7,4,8,2,46,0,52,0,0,13
不分平地山地,南屯區,男,547,146,79,179,55,3,19,5,1,1,2,1,23,0,29,0,0,4
不分平地山地,南屯區,女,699,197,122,195,74,13,24,3,6,3,6,1,23,0,23,0,0,9
不分平地山地,北屯區,計,2759,868,775,429,331,31,61,26,18,3,13,3,58,5,89,0,0,49
不分平地山地,北屯區,男,1208,411,321,196,129,20,28,11,5,0,7,0,19,4,40,0,0,17
不分平地山地,北屯區,女,1551,457,454,233,202,11,33,15,13,3,6,3,39,1,49,0,0,32
不分平地山地,豐原區,計,1529,443,442,343,114,28,23,9,14,2,0,3,36,0,26,0,0,46
不分平地山地,豐原區,男,708,215,198,169,47,11,7,4,7,1,0,1,13,0,13,0,0,22
不分平地山地,豐原區,女,821,228,244,174,67,17,16,5,7,1,0,2,23,0,13,0,0,24
不分平地山地,東勢區,計,679,117,456,36,24,3,9,10,0,0,3,0,8,0,9,0,0,4
不分平地山地,東勢區,男,288,47,208,13,10,1,1,3,0,0,2,0,1,0,1,0,0,1
不分平地山地,東勢區,女,391,70,248,23,14,2,8,7,0,0,1,0,7,0,8,0,0,3
不分平地山地,大甲區,計,285,108,28,57,51,5,15,4,4,0,1,0,5,0,1,0,0,6
不分平地山地,大甲區,男,109,43,11,20,16,5,6,1,1,0,0,0,3,0,0,0,0,3
不分平地山地,大甲區,女,176,65,17,37,35,0,9,3,3,0,1,0,2,0,1,0,0,3
不分平地山地,清水區,計,556,197,41,128,84,6,17,9,7,0,0,0,30,0,20,0,8,9
不分平地山地,清水區,男,270,101,18,65,42,1,8,2,3,0,0,0,11,0,14,0,2,3
不分平地山地,清水區,女,286,96,23,63,42,5,9,7,4,0,0,0,19,0,6,0,6,6
不分平地山地,沙鹿區,計,939,308,100,261,166,8,11,9,1,5,1,3,33,0,17,0,0,16
不分平地山地,沙鹿區,男,440,159,43,123,75,3,7,4,0,1,0,2,8,0,7,0,0,8
不分平地山地,沙鹿區,女,499,149,57,138,91,5,4,5,1,4,1,1,25,0,10,0,0,8
不分平地山地,梧棲區,計,925,470,88,191,102,8,20,5,0,0,1,0,7,3,15,0,0,15
不分平地山地,梧棲區,男,436,245,25,100,37,4,6,3,0,0,0,0,3,0,5,0,0,8
不分平地山地,梧棲區,女,489,225,63,91,65,4,14,2,0,0,1,0,4,3,10,0,0,7
不分平地山地,后里區,計,622,222,107,97,107,16,16,6,4,4,1,0,22,0,4,0,0,16
不分平地山地,后里區,男,276,101,44,38,55,8,7,2,2,1,0,0,9,0,1,0,0,8
不分平地山地,后里區,女,346,121,63,59,52,8,9,4,2,3,1,0,13,0,3,0,0,8
