身分,區域別,性別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
不分平地山地,總計,計,540023,200604,85888,96334,56004,12861,13387,6801,6412,4426,760,1378,29731,842,9081,213,125,15176
不分平地山地,總計,男,263252,98564,40730,46707,27132,6259,6468,3261,3101,2189,369,687,14365,424,4547,110,65,8274
不分平地山地,總計,女,276771,102040,45158,49627,28872,6602,6919,3540,3311,2237,391,691,15366,418,4534,103,60,6902
不分平地山地,新北市,計,53418,31555,7036,4169,3523,499,1222,186,481,79,47,278,1891,41,214,3,0,2194
不分平地山地,新北市,男,24849,15077,3086,1907,1593,218,555,71,196,33,25,138,769,29,87,2,0,1063
不分平地山地,新北市,女,28569,16478,3950,2262,1930,281,667,115,285,46,22,140,1122,12,127,1,0,1131
不分平地山地,臺北市,計,15581,7519,2541,1457,967,232,463,154,149,39,18,41,785,25,210,1,0,980
不分平地山地,臺北市,男,6588,3320,975,645,396,105,210,56,60,13,3,17,321,13,73,0,0,381
不分平地山地,臺北市,女,8993,4199,1566,812,571,127,253,98,89,26,15,24,464,12,137,1,0,599
不分平地山地,臺中市,計,30948,9126,8469,6020,3956,381,612,268,187,59,145,41,555,13,566,8,5,537
不分平地山地,臺中市,男,14301,4408,3926,2822,1685,169,275,103,90,20,59,14,241,8,235,3,1,242
不分平地山地,臺中市,女,16647,4718,4543,3198,2271,212,337,165,97,39,86,27,314,5,331,5,4,295
不分平地山地,臺南市,計,6957,2142,583,2188,963,188,282,97,24,13,16,14,217,4,55,2,3,166
不分平地山地,臺南市,男,2909,896,217,924,420,77,127,38,12,7,7,6,88,2,18,1,0,69
不分平地山地,臺南市,女,4048,1246,366,1264,543,111,155,59,12,6,9,8,129,2,37,1,3,97
不分平地山地,高雄市,計,32252,8922,1224,7920,8905,2560,705,853,50,31,14,22,482,5,104,193,114,148
不分平地山地,高雄市,男,15137,4180,510,3427,4478,1257,317,407,18,13,5,9,233,2,38,102,63,78
不分平地山地,高雄市,女,17115,4742,714,4493,4427,1303,388,446,32,18,9,13,249,3,66,91,51,70
不分平地山地,臺灣省,計,399802,140829,65887,74441,37597,8987,10090,5225,5502,4203,519,981,25742,753,7927,6,2,11111
不分平地山地,臺灣省,男,198900,70419,31942,36902,18515,4422,4977,2575,2718,2103,269,503,12679,369,4092,2,0,6413
不分平地山地,臺灣省,女,200902,70410,33945,37539,19082,4565,5113,2650,2784,2100,250,478,13063,384,3835,4,2,4698
